marca,model,varianta,eea_inregistrari,eea_masa_mediana,eea_putere_mediana,eea_co2_mediana,abatere_masa_pct,abatere_putere_pct,abatere_co2_pct,status
Hyundai,Tucson,1.6 T-GDI mHEV 160 DCT,3449,1650.0,118.0,142.0,10.6,0.0,5.6,DE VERIFICAT manual
VW,Golf,1.5 eTSI mHEV 150 DSG,228,1373.0,110.0,122.0,21.0,0.0,1.6,DE VERIFICAT manual
VW,T-Roc,1.5 eTSI mHEV 150 DSG,5,1474.0,110.0,127.0,-5.4,0.0,3.9,OK
Skoda,Kamiq,1.5 TSI mHEV 150 DSG,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Audi,A3,35 TFSI mHEV 150 S tronic,310,1400.0,110.0,121.0,19.6,0.0,4.1,DE VERIFICAT manual
BMW,Seria 1,120 mHEV 170,345,1500.0,115.0,124.0,-0.3,8.7,7.3,OK
BMW,Seria 3,320d mHEV 190,371,1965.0,145.0,154.0,0.0,-3.4,0.0,OK
Mercedes-Benz,Clasa C,C200 mHEV 204,501,1910.0,150.0,165.0,0.0,0.0,0.0,OK
Mercedes-Benz,Clasa E,E200 mHEV 204,105,1880.0,150.0,157.0,-1.3,0.0,-3.8,OK
Volvo,XC60,B4 mHEV 197,3851,2150.0,186.0,68.0,0.0,-22.0,141.2,DE VERIFICAT manual
Volvo,XC40,B3 mHEV 163,336,1688.0,120.0,151.0,-0.2,0.0,5.3,OK
